,Destination,Hotel ceiling,Daily allowance
0,Belgium,148,102
1,Bulgaria,135,57
2,Czech Republic,124,70
3,Denmark,173,124
4,Germany,128,97
5,Estonia,105,80
6,Ireland,159,108
7,Greece,112,82
8,Spain,128,88
9,France,180,102
10,Croatia,110,75
11,Italy,148,98
12,Cyprus,140,88
13,Latvia,116,73
14,Lithuania,117,69
15,Luxembourg,148,98
16,Hungary,120,64
17,Malta,138,88
18,Netherlands,166,103
19,Austria,132,102
20,Poland,116,67
21,Portugal,101,83
22,Romania,136,62
23,Slovenia,117,84
24,Slovak Republic,100,74
25,Finland,142,113
26,Sweden,187,117
27,United Kingdom,209,125
