STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,currency,Currency,estruct,Earnings structure,ecase,Earnings case,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag)
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2000,,25227.80,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2001,,25475.92,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2002,,25885.11,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2003,,26837.62,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2004,,27190.26,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2005,,27969.56,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2006,,28577.26,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2007,,29156.03,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2008,,29677.89,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2009,,31258.42,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2010,,31600.70,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2011,,32131.61,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2012,,32649.00,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2013,,33276.48,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2014,,33788.49,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2015,,34414.48,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2016,,36707.82,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2017,,37220.14,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2018,,37847.53,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2019,,41162.12,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2020,,42589.37,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2021,,42549.21,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,AT,Austria,2022,,46534.40,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2000,,24140.13,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2001,,25010.34,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2002,,25944.50,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2003,,26526.72,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2004,,27854.48,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2005,,28562.29,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2006,,29339.23,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2007,,30096.45,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2008,,31513.01,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2009,,32705.19,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2010,,33195.88,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2011,,34050.25,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2012,,35073.83,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2013,,35566.07,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2014,,35797.13,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2015,,35988.82,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2016,,36799.45,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2017,,37611.67,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2018,,38703.54,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2019,,40130.11,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2020,,40667.33,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2021,,41452.93,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BE,Belgium,2022,,43710.86,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BG,Bulgaria,2008,,2912.64,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BG,Bulgaria,2009,,3380.86,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BG,Bulgaria,2010,,3631.83,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BG,Bulgaria,2011,,3825.94,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BG,Bulgaria,2012,,4027.94,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BG,Bulgaria,2013,,4227.55,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BG,Bulgaria,2014,,4555.26,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BG,Bulgaria,2015,,4860.67,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BG,Bulgaria,2016,,5231.03,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BG,Bulgaria,2017,,5674.72,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BG,Bulgaria,2018,,6019.75,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BG,Bulgaria,2019,,6665.67,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BG,Bulgaria,2020,,7185.43,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BG,Bulgaria,2021,,8284.56,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,BG,Bulgaria,2022,,9546.85,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2000,,44050.03,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2001,,46575.56,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2002,,48906.15,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2003,,47883.65,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2004,,47978.03,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2005,,48301.45,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2006,,48461.42,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2007,,47720.79,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2008,,50391.04,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2009,,52940.19,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2010,,58625.65,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2011,,66291.99,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2012,,70820.14,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2013,,70332.30,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2014,,68887.64,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2015,,78121.48,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2016,,78539.87,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2017,,77378.65,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2018,,75160.91,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2019,,79065.48,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2020,,83417.63,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2021,,85606.40,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CH,Switzerland,2022,,94421.09,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CY,Cyprus,2005,,16275.19,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CY,Cyprus,2006,,17341.42,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CY,Cyprus,2007,,18255.57,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CY,Cyprus,2014,,20136.46,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CY,Cyprus,2017,,20571.22,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CY,Cyprus,2018,,21066.89,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CY,Cyprus,2019,,21338.46,,,
dataflow,ESTAT:EARN_NT_NET(1.0),Annual net earnings,A,Annual,EUR,Euro,NET,Net earning,CPL_CH2_AW100,One-earner couple with two children earning 100% of the average earning,CY,Cyprus,2020,,21422.47,,,
