STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,coicop,Classification of individual consumption by purpose (COICOP),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag)
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,AL,Albania,2016-12,,2.5,,d,definition differs (see metadata)
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,AL,Albania,2017-01,,4.0,,d,definition differs (see metadata)
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,AL,Albania,2017-02,,3.7,,d,definition differs (see metadata)
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,AL,Albania,2017-03,,3.8,,d,definition differs (see metadata)
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,AL,Albania,2017-04,,3.6,,d,definition differs (see metadata)
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,AL,Albania,2017-05,,3.4,,d,definition differs (see metadata)
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,AL,Albania,2017-06,,3.7,,d,definition differs (see metadata)
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,AL,Albania,2017-07,,3.0,,d,definition differs (see metadata)
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,AL,Albania,2017-08,,2.5,,d,definition differs (see metadata)
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,AL,Albania,2017-09,,2.7,,d,definition differs (see metadata)
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,AL,Albania,2017-10,,3.2,,d,definition differs (see metadata)
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,AL,Albania,2017-11,,2.4,,d,definition differs (see metadata)
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,AL,Albania,2017-12,,2.4,,d,definition differs (see metadata)
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,AL,Albania,2018-01,,1.7,,d,definition differs (see metadata)
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,AL,Albania,2018-02,,1.6,,d,definition differs (see metadata)
dataflow,ESTAT:PRC_HICP_MANR(1.0),HICP - monthly data (annual rate of change),M,Monthly,RCH_A,Annual rate of change,CP00,All-items HICP,AL,Albania,2018-03,,1.4,,d,definition differs (see metadata)
